# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 592 郑州东 XXX
S 593 隆昌 XXX
S 594 花土坡 XXX
S 595 岩山 XXX
S 596 仙林 XXX
S 597 良乡 XXX
S 598 内江东 XXX
S 599 子洲 XXX
S 600 陈相屯 XXX
S 601 绥德 XXX
S 602 柳州 XXX
S 603 车墩 XXX
S 604 崇州 XXX
S 605 昭通 XXX
S 606 侯马西 XXX
S 607 阿城 XXX
S 608 驻马店西 XXX
S 609 一面坡 XXX
S 610 浠水南 XXX
S 611 尹地 XXX
S 612 宝泉岭 XXX
S 613 黔江 XXX
S 614 汕头 XXX
S 615 罗浮山 XXX
S 616 六盘水 XXX
S 617 西宁 XXX
S 618 上西铺 XXX
S 619 朗乡 XXX
S 620 高碑店东 XXX
S 621 漾濞 XXX
S 622 野象谷 XXX
S 623 望江 XXX
S 624 滨州 XXX
S 625 八仙筒 XXX
S 626 平潭 XXX
S 627 沥林北 XXX
S 628 凯里南 XXX
S 629 定边 XXX
S 630 深圳机场 XXX
S 631 兴凯 XXX
S 632 阜阳西 XXX
S 633 怀化南 XXX
S 634 张家川 XXX
S 635 锦和 XXX
S 636 莆田 XXX
S 637 黄泥崴子 XXX
S 638 罗源 XXX
S 639 平社 XXX
S 640 宜良北 XXX
S 641 三阳 XXX
S 642 达布逊 XXX
S 643 宁城 XXX
S 644 二龙屯 XXX
S 645 奉节 XXX
S 646 滨海北 XXX
S 647 咸丰 XXX
S 648 金州 XXX
S 649 瑞昌 XXX
S 650 宁陵县 XXX
S 651 红岛 XXX
S 652 鱼泉 XXX
S 653 哈业胡同 XXX
S 654 霍尔果斯 XXX
S 655 六道河子 XXX
S 656 文登东 XXX
S 657 东方 XXX
S 658 泔溪 XXX
S 659 红星 XXX
S 660 樟树东 XXX
S 661 枣强 XXX
S 662 威信 XXX
S 663 沈阳 XXX
S 664 长汀南 XXX
S 665 滩头 XXX
S 666 永泰 XXX
S 667 信宜 XXX
S 668 兴隆县 XXX
S 669 勉县 XXX
S 670 郫县西 XXX
S 671 河东里 XXX
S 672 大竹园 XXX
S 673 红兴隆 XXX
S 674 黄柏 XXX
S 675 博罗 XXX
S 676 册亨 XXX
S 677 嘉善 XXX
S 678 乳山南 XXX
S 679 哈拉海 XXX
S 680 褚家湾 XXX
S 681 彝良南 XXX
S 682 永仁 XXX
S 683 如皋南 XXX
S 684 民族 XXX
S 685 韩城 XXX
S 686 泗阳 XXX
S 687 益阳南 XXX
S 688 竹园 XXX
S 689 西斗铺 XXX
S 690 昌黎 XXX
S 691 红安西 XXX
S 692 安达 XXX
S 693 昌图西 XXX
S 694 南堡北 XXX
S 695 双水镇 XXX
S 696 大灰厂 XXX
S 697 万象 XXX
S 698 乐山北 XXX
S 699 蕲春南 XXX
S 700 榆社西 XXX
S 701 珠海 XXX
S 702 金坛 XXX
S 703 背荫河 XXX
S 704 丰城 XXX
S 705 通北 XXX
S 706 牛栏山 XXX
S 707 龙山北 XXX
S 708 锡林呼都嘎 XXX
S 709 滁州 XXX
S 710 叶榭 XXX
